season,year,month,hour,holiday,weekday,workingday,weather,temp,humidity,windspeed,count
1,0,1,0,0,6,0,1,0.24,0.81,0.0,2.772588722239781
1,0,1,1,0,6,0,1,0.22,0.8,0.0,3.6888794541139363
1,0,1,2,0,6,0,1,0.22,0.8,0.0,3.4657359027997265
1,0,1,3,0,6,0,1,0.24,0.75,0.0,2.5649493574615367
1,0,1,4,0,6,0,1,0.24,0.75,0.0,0.0
1,0,1,5,0,6,0,2,0.24,0.75,0.0896,0.0
1,0,1,6,0,6,0,1,0.22,0.8,0.0,0.6931471805599453
1,0,1,7,0,6,0,1,0.2,0.86,0.0,1.0986122886681098
1,0,1,8,0,6,0,1,0.24,0.75,0.0,2.0794415416798357
1,0,1,9,0,6,0,1,0.32,0.76,0.0,2.6390573296152584
1,0,1,10,0,6,0,1,0.38,0.76,0.2537,3.58351893845611
1,0,1,11,0,6,0,1,0.36,0.81,0.2836,4.02535169073515
1,0,1,12,0,6,0,1,0.42,0.77,0.2836,4.430816798843313
1,0,1,13,0,6,0,2,0.46,0.72,0.2985,4.543294782270004
1,0,1,14,0,6,0,2,0.46,0.72,0.2836,4.663439094112067
1,0,1,15,0,6,0,2,0.44,0.77,0.2985,4.700480365792417
1,0,1,16,0,6,0,2,0.42,0.82,0.2985,4.532599493153256
1,0,1,17,0,6,0,2,0.44,0.82,0.2836,4.204692619390966
1,0,1,18,0,6,0,3,0.42,0.88,0.2537,3.5553480614894135
1,0,1,19,0,6,0,3,0.42,0.88,0.2537,3.6109179126442243
1,0,1,20,0,6,0,2,0.4,0.87,0.2537,3.58351893845611
1,0,1,21,0,6,0,2,0.4,0.87,0.19399999999999998,3.5263605246161616
1,0,1,22,0,6,0,2,0.4,0.94,0.2239,3.332204510175204
1,0,1,23,0,6,0,2,0.46,0.88,0.2985,3.6635616461296463
1,0,1,0,0,0,0,2,0.46,0.88,0.2985,2.833213344056216
1,0,1,1,0,0,0,2,0.44,0.94,0.2537,2.833213344056216
1,0,1,2,0,0,0,2,0.42,1.0,0.2836,2.1972245773362196
1,0,1,3,0,0,0,2,0.46,0.94,0.19399999999999998,1.791759469228055
1,0,1,4,0,0,0,2,0.46,0.94,0.19399999999999998,1.0986122886681098
1,0,1,6,0,0,0,3,0.42,0.77,0.2985,0.6931471805599453
1,0,1,7,0,0,0,2,0.4,0.76,0.19399999999999998,0.0
1,0,1,8,0,0,0,3,0.4,0.71,0.2239,2.0794415416798357
1,0,1,9,0,0,0,2,0.38,0.76,0.2239,2.995732273553991
1,0,1,10,0,0,0,2,0.36,0.81,0.2239,3.970291913552122
1,0,1,11,0,0,0,2,0.36,0.71,0.2537,4.248495242049359
1,0,1,12,0,0,0,2,0.36,0.66,0.2985,4.532599493153256
1,0,1,13,0,0,0,2,0.36,0.66,0.1343,4.31748811353631
1,0,1,14,0,0,0,3,0.36,0.76,0.19399999999999998,4.07753744390572
1,0,1,15,0,0,0,3,0.34,0.81,0.1642,4.30406509320417
1,0,1,16,0,0,0,3,0.34,0.71,0.1642,4.330733340286331
1,0,1,17,0,0,0,1,0.34,0.57,0.19399999999999998,4.174387269895637
1,0,1,18,0,0,0,2,0.36,0.46,0.3284,3.970291913552122
1,0,1,19,0,0,0,1,0.32,0.42,0.4478,3.4011973816621555
1,0,1,20,0,0,0,1,0.3,0.39,0.3582,3.091042453358316
1,0,1,21,0,0,0,1,0.26,0.44,0.3284,3.4339872044851463
1,0,1,22,0,0,0,1,0.24,0.44,0.2985,2.1972245773362196
1,0,1,23,0,0,0,1,0.22,0.47,0.1642,2.0794415416798357
1,0,1,0,0,1,1,1,0.22,0.44,0.3582,1.6094379124341003
1,0,1,1,0,1,1,1,0.2,0.44,0.4179,0.6931471805599453
1,0,1,4,0,1,1,1,0.16,0.47,0.3881,0.0
1,0,1,5,0,1,1,1,0.16,0.47,0.2836,1.0986122886681098
1,0,1,6,0,1,1,1,0.14,0.5,0.3881,3.4011973816621555
1,0,1,7,0,1,1,1,0.14,0.5,0.19399999999999998,4.1588830833596715
1,0,1,8,0,1,1,1,0.14,0.5,0.2836,5.0369526024136295
1,0,1,9,0,1,1,1,0.16,0.43,0.3881,4.477336814478207
1,0,1,10,0,1,1,1,0.18,0.43,0.2537,3.784189633918261
1,0,1,11,0,1,1,1,0.2,0.4,0.3284,3.9318256327243257
1,0,1,12,0,1,1,1,0.22,0.35,0.2985,4.110873864173311
1,0,1,13,0,1,1,1,0.24,0.35,0.2836,4.110873864173311
1,0,1,14,0,1,1,1,0.26,0.3,0.2836,4.343805421853684
1,0,1,15,0,1,1,1,0.26,0.3,0.2537,4.276666119016055
1,0,1,16,0,1,1,1,0.26,0.3,0.2537,4.330733340286331
1,0,1,17,0,1,1,1,0.24,0.3,0.2239,5.056245805348308
1,0,1,18,0,1,1,1,0.24,0.32,0.1045,5.056245805348308
1,0,1,19,0,1,1,1,0.2,0.47,0.0,4.700480365792417
1,0,1,20,0,1,1,1,0.2,0.47,0.1045,3.9512437185814275
1,0,1,21,0,1,1,1,0.18,0.64,0.1343,3.9512437185814275
1,0,1,22,0,1,1,1,0.14,0.69,0.1343,2.995732273553991
1,0,1,23,0,1,1,1,0.18,0.55,0.1045,2.4849066497880004
1,0,1,0,0,2,1,1,0.16,0.55,0.1045,1.6094379124341003
1,0,1,1,0,2,1,1,0.16,0.59,0.1045,0.6931471805599453
1,0,1,2,0,2,1,1,0.14,0.63,0.1343,0.0
1,0,1,4,0,2,1,1,0.14,0.63,0.0896,0.6931471805599453
1,0,1,5,0,2,1,1,0.12,0.68,0.1045,1.3862943611198906
1,0,1,6,0,2,1,1,0.12,0.74,0.1045,3.58351893845611
1,0,1,7,0,2,1,1,0.12,0.74,0.1343,4.543294782270004
1,0,1,8,0,2,1,1,0.14,0.69,0.1642,5.187385805840755
1,0,1,9,0,2,1,1,0.16,0.64,0.2239,4.605170185988092
1,0,1,10,0,2,1,2,0.16,0.69,0.3284,3.7376696182833684
1,0,1,11,0,2,1,1,0.22,0.51,0.2985,4.04305126783455
1,0,1,12,0,2,1,1,0.22,0.51,0.1642,4.356708826689592
1,0,1,13,0,2,1,1,0.24,0.56,0.19399999999999998,4.574710978503383
1,0,1,14,0,2,1,1,0.26,0.52,0.2239,4.143134726391533
1,0,1,15,0,2,1,1,0.28,0.52,0.2537,4.174387269895637
1,0,1,16,0,2,1,1,0.3,0.49,0.2537,4.418840607796598
1,0,1,17,0,2,1,1,0.28,0.48,0.2239,5.356586274672012
1,0,1,18,0,2,1,1,0.26,0.48,0.19399999999999998,5.204006687076795
1,0,1,19,0,2,1,1,0.24,0.48,0.1045,4.718498871295094
1,0,1,20,0,2,1,1,0.24,0.48,0.1045,3.9889840465642745
1,0,1,21,0,2,1,1,0.22,0.64,0.0,3.871201010907891
1,0,1,22,0,2,1,1,0.22,0.64,0.0896,3.5553480614894135
1,0,1,23,0,2,1,1,0.2,0.69,0.0896,2.3978952727983707
1,0,1,0,0,3,1,1,0.2,0.64,0.0,1.791759469228055
1,0,1,1,0,3,1,1,0.16,0.74,0.0896,1.791759469228055
1,0,1,2,0,3,1,1,0.16,0.74,0.0896,0.6931471805599453
1,0,1,4,0,3,1,1,0.24,0.48,0.2239,0.6931471805599453
1,0,1,5,0,3,1,1,0.22,0.47,0.1642,1.0986122886681098
1,0,1,6,0,3,1,1,0.2,0.47,0.2239,3.4965075614664802
1,0,1,7,0,3,1,1,0.18,0.43,0.19399999999999998,4.477336814478207
1,0,1,8,0,3,1,1,0.2,0.4,0.2985,5.272999558563747
1,0,1,9,0,3,1,1,0.22,0.37,0.3284,4.74493212836325
1,0,1,10,0,3,1,1,0.22,0.37,0.3284,4.04305126783455
1,0,1,11,0,3,1,1,0.26,0.33,0.3284,3.828641396489095
1,0,1,12,0,3,1,1,0.26,0.33,0.3284,4.3694478524670215
1,0,1,13,0,3,1,1,0.28,0.3,0.2985,4.2626798770413155
1,0,1,14,0,3,1,1,0.3,0.28,0.19399999999999998,4.127134385045092
1,0,1,15,0,3,1,1,0.3,0.28,0.19399999999999998,4.127134385045092
1,0,1,16,0,3,1,1,0.3,0.28,0.0896,4.48863636973214
1,0,1,17,0,3,1,1,0.24,0.38,0.19399999999999998,5.247024072160486
1,0,1,18,0,3,1,1,0.24,0.38,0.1343,5.1298987149230735
1,0,1,19,0,3,1,1,0.24,0.38,0.1045,4.882801922586371
1,0,1,20,0,3,1,1,0.22,0.47,0.1642,4.48863636973214
